id,time(utc timestamp),amount(usd),price,side
292.0,1617354160894000.0,2000.0,60858.1692,asks
293.0,1617354160894000.0,3630.0,60864.6705,asks
294.0,1617354160894000.0,4370.0,60865.1706,asks
295.0,1617354162033000.0,2000.0,60858.1692,asks
296.0,1617354162033000.0,6000.0,60865.1706,asks
297.0,1617354162033000.0,2000.0,60868.1712,asks
298.0,1617354163463000.0,2000.0,60858.1692,asks
299.0,1617354163463000.0,6000.0,60865.1706,asks
300.0,1617354163463000.0,2000.0,60868.1712,asks
301.0,1617354164466000.0,2000.0,60858.1692,asks
302.0,1617354164466000.0,3630.0,60864.6705,asks
303.0,1617354164466000.0,4370.0,60865.1706,asks
304.0,1617354166042000.0,2000.0,60858.1692,asks
305.0,1617354166042000.0,8000.0,60858.6693,asks
306.0,1617354168091000.0,3630.0,60837.6651,asks
307.0,1617354168091000.0,6370.0,60838.1652,asks
308.0,1617354169142000.0,3630.0,60837.6651,asks
309.0,1617354169142000.0,6370.0,60838.1652,asks
310.0,1617354171079000.0,3630.0,60837.6651,asks
311.0,1617354171079000.0,6370.0,60838.1652,asks
312.0,1617354172090000.0,3630.0,60837.6651,asks
313.0,1617354172090000.0,6370.0,60838.1652,asks
314.0,1617354173885000.0,2000.0,60858.1692,asks
315.0,1617354173885000.0,3650.0,60864.6705,asks
316.0,1617354173885000.0,4350.0,60865.1706,asks
317.0,1617354175119000.0,2000.0,60858.1692,asks
318.0,1617354175119000.0,8000.0,60858.6693,asks
319.0,1617354176920000.0,5650.0,60858.1692,asks
320.0,1617354176920000.0,4350.0,60858.6693,asks
321.0,1617354178189000.0,5650.0,60858.1692,asks
322.0,1617354178189000.0,4350.0,60858.6693,asks
323.0,1617354179937000.0,5650.0,60858.1692,asks
324.0,1617354179937000.0,4350.0,60858.6693,asks
325.0,1617354181152000.0,5610.0,60858.1692,asks
326.0,1617354181152000.0,4390.0,60858.6693,asks
327.0,1617354182956000.0,2000.0,60858.1692,asks
328.0,1617354182956000.0,3610.0,60864.6705,asks
329.0,1617354182956000.0,4390.0,60865.1706,asks
330.0,1617354184172000.0,2000.0,60858.1692,asks
331.0,1617354184172000.0,8000.0,60858.6693,asks
332.0,1617354185198000.0,5610.0,60858.1692,asks
333.0,1617354185198000.0,4390.0,60858.6693,asks
334.0,1617354186792000.0,5610.0,60858.1692,asks
335.0,1617354186792000.0,4390.0,60858.6693,asks
336.0,1617354188193000.0,5740.0,60858.1692,asks
337.0,1617354188193000.0,4260.0,60865.1706,asks
338.0,1617354189197000.0,2000.0,60858.1692,asks
339.0,1617354189197000.0,3740.0,60864.6705,asks
340.0,1617354189197000.0,4260.0,60865.1706,asks
341.0,1617354190225000.0,2000.0,60858.1692,asks
342.0,1617354190225000.0,8000.0,60858.6693,asks
343.0,1617354191262000.0,2000.0,60858.1692,asks
344.0,1617354191262000.0,8000.0,60858.6693,asks
345.0,1617354192588000.0,3740.0,60867.6711,asks
346.0,1617354192588000.0,6260.0,60868.1712,asks
347.0,1617354193958000.0,3740.0,60831.6639,asks
348.0,1617354193958000.0,6260.0,60832.164,asks
349.0,1617354195256000.0,3740.0,60831.6639,asks
350.0,1617354195256000.0,6260.0,60832.164,asks
351.0,1617354196267000.0,3740.0,60831.6639,asks
352.0,1617354196267000.0,6260.0,60832.164,asks
353.0,1617354197270000.0,3740.0,60831.6639,asks
354.0,1617354197270000.0,6260.0,60832.164,asks
355.0,1617354198286000.0,3740.0,60831.6639,asks
356.0,1617354198286000.0,6260.0,60832.164,asks
357.0,1617354199332000.0,3740.0,60831.6639,asks
358.0,1617354199332000.0,6260.0,60832.164,asks
359.0,1617354200448000.0,3740.0,60831.6639,asks
360.0,1617354200448000.0,6260.0,60832.164,asks
361.0,1617354202297000.0,3740.0,60831.6639,asks
362.0,1617354202297000.0,6260.0,60832.164,asks
363.0,1617354203376000.0,3740.0,60831.6639,asks
364.0,1617354203376000.0,6260.0,60832.164,asks
365.0,1617354205328000.0,3740.0,60831.6639,asks
366.0,1617354205328000.0,6260.0,60832.164,asks
367.0,1617354206457000.0,3740.0,60831.6639,asks
368.0,1617354206457000.0,6260.0,60832.164,asks
369.0,1617354207597000.0,10000.0,60832.164,asks
370.0,1617354208776000.0,3590.0,60831.6639,asks
371.0,1617354208776000.0,6410.0,60832.164,asks
372.0,1617354210364000.0,3590.0,60831.6639,asks
373.0,1617354210364000.0,6410.0,60832.164,asks
374.0,1617354211366000.0,3590.0,60831.6639,asks
375.0,1617354211366000.0,6410.0,60832.164,asks
376.0,1617354213385000.0,3590.0,60831.6639,asks
377.0,1617354213385000.0,6410.0,60832.164,asks
378.0,1617354214387000.0,3590.0,60831.6639,asks
379.0,1617354214387000.0,6410.0,60832.164,asks
380.0,1617354215388000.0,3590.0,60831.6639,asks
381.0,1617354215388000.0,6410.0,60832.164,asks
382.0,1617354216438000.0,3590.0,60831.6639,asks
383.0,1617354216438000.0,6410.0,60832.164,asks
384.0,1617354217734000.0,3590.0,60831.6639,asks
385.0,1617354217734000.0,6410.0,60832.164,asks
386.0,1617354219263000.0,3590.0,60831.6639,asks
387.0,1617354219263000.0,6410.0,60832.164,asks
388.0,1617354220430000.0,3590.0,60831.6639,asks
389.0,1617354220430000.0,6410.0,60832.164,asks
390.0,1617354221439000.0,3590.0,60831.6639,asks
391.0,1617354221439000.0,6410.0,60832.164,asks
392.0,1617354222508000.0,3590.0,60831.6639,asks
393.0,1617354222508000.0,6410.0,60832.164,asks
394.0,1617354223591000.0,3590.0,60831.6639,asks
395.0,1617354223591000.0,6410.0,60832.164,asks
396.0,1617354224696000.0,3590.0,60831.6639,asks
397.0,1617354224696000.0,6410.0,60832.164,asks
398.0,1617354225947000.0,3590.0,60831.6639,asks
399.0,1617354225947000.0,6410.0,60832.164,asks
400.0,1617354227120000.0,3590.0,60831.6639,asks
401.0,1617354227120000.0,6410.0,60832.164,asks
402.0,1617354228193000.0,2000.0,60819.6615,asks
403.0,1617354228193000.0,6000.0,60828.1632,asks
404.0,1617354228193000.0,2000.0,60838.6653,asks
405.0,1617354229394000.0,2000.0,60819.6615,asks
406.0,1617354229394000.0,8000.0,60838.6653,asks
407.0,1617354230563000.0,3640.0,60819.6615,asks
408.0,1617354230563000.0,6360.0,60820.1616,asks
409.0,1617354231765000.0,2000.0,60834.1644,asks
410.0,1617354231765000.0,8000.0,60838.6653,asks
411.0,1617354232996000.0,5520.0,60834.1644,asks
412.0,1617354232996000.0,4480.0,60834.6645,asks
413.0,1617354234095000.0,2000.0,60834.1644,asks
414.0,1617354234095000.0,8000.0,60838.6653,asks
415.0,1617354235436000.0,2000.0,60834.1644,asks
416.0,1617354235436000.0,8000.0,60838.6653,asks
417.0,1617354236545000.0,5520.0,60834.1644,asks
418.0,1617354236545000.0,4480.0,60834.6645,asks
419.0,1617354237551000.0,2000.0,60834.1644,asks
420.0,1617354237551000.0,8000.0,60834.6645,asks
421.0,1617354238563000.0,2000.0,60834.1644,asks
422.0,1617354238563000.0,8000.0,60834.6645,asks
423.0,1617354239564000.0,2000.0,60834.1644,asks
424.0,1617354239564000.0,3520.0,60838.1652,asks
425.0,1617354239564000.0,4480.0,60838.6653,asks
426.0,1617354240709000.0,3520.0,60838.1652,asks
427.0,1617354240709000.0,6480.0,60838.6653,asks
428.0,1617354241988000.0,10000.0,60840.1656,asks
429.0,1617354243231000.0,2000.0,60846.6669,asks
430.0,1617354243231000.0,6000.0,60852.6681,asks
431.0,1617354243231000.0,2000.0,60874.1724,asks
432.0,1617354244897000.0,2000.0,60860.1696,asks
433.0,1617354244897000.0,6000.0,60867.171,asks
434.0,1617354244897000.0,2000.0,60874.1724,asks
435.0,1617354245903000.0,6000.0,60854.6685,asks
436.0,1617354245903000.0,3580.0,60859.6695,asks
437.0,1617354245903000.0,420.0,60860.1696,asks
438.0,1617354247062000.0,6000.0,60854.6685,asks
439.0,1617354247062000.0,3580.0,60859.6695,asks
440.0,1617354247062000.0,420.0,60860.1696,asks
441.0,1617354248693000.0,9160.0,60854.6685,asks
442.0,1617354248693000.0,840.0,60855.1686,asks
443.0,1617354250088000.0,6000.0,60854.6685,asks
444.0,1617354250088000.0,3160.0,60859.6695,asks
445.0,1617354250088000.0,840.0,60860.1696,asks
446.0,1617354251495000.0,2000.0,60847.167,asks
447.0,1617354251495000.0,3160.0,60854.1684,asks
448.0,1617354251495000.0,4840.0,60854.6685,asks
449.0,1617354252661000.0,2000.0,60847.167,asks
450.0,1617354252661000.0,8000.0,60847.6671,asks
451.0,1617354253666000.0,2000.0,60847.167,asks
452.0,1617354253666000.0,8000.0,60847.6671,asks
453.0,1617354254672000.0,5160.0,60847.167,asks
454.0,1617354254672000.0,4840.0,60847.6671,asks
455.0,1617354255679000.0,2000.0,60847.167,asks
456.0,1617354255679000.0,8000.0,60847.6671,asks
457.0,1617354256683000.0,2000.0,60847.167,asks
458.0,1617354256683000.0,8000.0,60847.6671,asks
459.0,1617354257693000.0,5160.0,60847.167,asks
460.0,1617354257693000.0,4840.0,60847.6671,asks
461.0,1617354258699000.0,2000.0,60847.167,asks
462.0,1617354258699000.0,8000.0,60847.6671,asks
463.0,1617354259706000.0,2000.0,60847.167,asks
464.0,1617354259706000.0,8000.0,60847.6671,asks
465.0,1617354260713000.0,2000.0,60847.167,asks
466.0,1617354260713000.0,8000.0,60847.6671,asks
467.0,1617354261719000.0,5160.0,60847.167,asks
468.0,1617354261719000.0,4840.0,60847.6671,asks
469.0,1617354262792000.0,2000.0,60863.6703,asks
470.0,1617354262792000.0,3030.0,60867.6711,asks
471.0,1617354262792000.0,4970.0,60868.1712,asks
472.0,1617354263891000.0,10000.0,60874.1724,asks
473.0,1617354264955000.0,2190.0,60873.6723,asks
474.0,1617354264955000.0,7810.0,60874.1724,asks
475.0,1617354266098000.0,10000.0,60874.1724,asks
476.0,1617354267285000.0,10000.0,60874.1724,asks
477.0,1617354268695000.0,2190.0,60873.6723,asks
478.0,1617354268695000.0,7810.0,60874.1724,asks
479.0,1617354270023000.0,600.0,60874.1724,asks
480.0,1617354270023000.0,2000.0,60899.6775,asks
481.0,1617354270023000.0,7400.0,60902.178,asks
482.0,1617354271194000.0,600.0,60874.1724,asks
483.0,1617354271194000.0,2000.0,60899.6775,asks
484.0,1617354271194000.0,2190.0,60911.6799,asks
485.0,1617354271194000.0,5210.0,60912.18,asks
486.0,1617354272798000.0,600.0,60874.1724,asks
487.0,1617354272798000.0,9400.0,60874.6725,asks
488.0,1617354273873000.0,4190.0,60899.6775,asks
489.0,1617354273873000.0,5810.0,60900.1776,asks
490.0,1617354275275000.0,4790.0,60899.6775,asks
491.0,1617354275275000.0,5210.0,60900.1776,asks
492.0,1617354276553000.0,2600.0,60899.6775,asks
493.0,1617354276553000.0,7400.0,60900.1776,asks
494.0,1617354277698000.0,4790.0,60899.6775,asks
495.0,1617354277698000.0,5210.0,60900.1776,asks
496.0,1617354278843000.0,2000.0,60899.6775,asks
497.0,1617354278843000.0,8000.0,60900.1776,asks
498.0,1617354280200000.0,3580.0,60899.6775,asks
499.0,1617354280200000.0,6420.0,60900.1776,asks
500.0,1617354281872000.0,3580.0,60899.6775,asks
501.0,1617354281872000.0,6420.0,60900.1776,asks
502.0,1617354282873000.0,2000.0,60899.6775,asks
503.0,1617354282873000.0,6000.0,60905.1786,asks
504.0,1617354282873000.0,2000.0,60912.18,asks
505.0,1617354283971000.0,2000.0,60899.6775,asks
506.0,1617354283971000.0,1580.0,60904.6785,asks
507.0,1617354283971000.0,6000.0,60905.1786,asks
508.0,1617354283971000.0,420.0,60912.18,asks
509.0,1617354284990000.0,2000.0,60887.175,asks
510.0,1617354284990000.0,1580.0,60904.6785,asks
511.0,1617354284990000.0,6000.0,60905.1786,asks
512.0,1617354284990000.0,420.0,60912.18,asks
513.0,1617354286382000.0,10000.0,60874.1724,asks
514.0,1617354287430000.0,1580.0,60873.6723,asks
515.0,1617354287430000.0,8420.0,60874.1724,asks
516.0,1617354288653000.0,600.0,60874.1724,asks
517.0,1617354288653000.0,2000.0,60887.175,asks
518.0,1617354288653000.0,7400.0,60892.176,asks
